Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
fastqc | MantonBM3_HiSeq_4_S20_L004_R1_001	MantonBM3_HiSeq_4_S20_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	65070703.0	0.0	26.0	50.0	41.62357918284957	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_5_S21_L003_R1_001	MantonBM3_HiSeq_5_S21_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53148791.0	0.0	26.0	50.0	46.18865443510857	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_5_S21_L004_R1_001	MantonBM3_HiSeq_5_S21_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49609021.0	0.0	26.0	50.0	47.91876731304767	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_6_S22_L003_R1_001	MantonBM3_HiSeq_6_S22_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54454072.0	0.0	26.0	50.0	46.71150319296732	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_6_S22_L004_R1_001	MantonBM3_HiSeq_6_S22_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50904291.0	0.0	26.0	50.0	48.266041504038924	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_7_S23_L003_R1_001	MantonBM3_HiSeq_7_S23_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49276901.0	0.0	26.0	50.0	47.95166470931018	26.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_7_S23_L004_R1_001	MantonBM3_HiSeq_7_S23_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45677471.0	0.0	26.0	50.0	49.95849303327137	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_8_S24_L003_R1_001	MantonBM3_HiSeq_8_S24_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	53041413.0	0.0	26.0	50.0	46.50999162544821	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM3_HiSeq_8_S24_L004_R1_001	MantonBM3_HiSeq_8_S24_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50048781.0	0.0	26.0	50.0	47.911444552265	26.0	pass	pass	warn	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_1_S25_L001_R1_001	MantonBM4_HiSeq_1_S25_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61638874.0	0.0	26.0	50.0	42.2583600197416	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_1_S25_L002_R1_001	MantonBM4_HiSeq_1_S25_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60491212.0	0.0	26.0	50.0	44.280699585083696	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_2_S26_L001_R1_001	MantonBM4_HiSeq_2_S26_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52606975.0	0.0	26.0	50.0	46.532721358421895	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_2_S26_L002_R1_001	MantonBM4_HiSeq_2_S26_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49258338.0	0.0	26.0	50.0	49.64318634022425	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_3_S27_L001_R1_001	MantonBM4_HiSeq_3_S27_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54583614.0	0.0	26.0	50.0	45.75989035922146	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_3_S27_L002_R1_001	MantonBM4_HiSeq_3_S27_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52668340.0	0.0	26.0	50.0	48.08690306104543	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_4_S28_L001_R1_001	MantonBM4_HiSeq_4_S28_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55975346.0	0.0	26.0	50.0	45.2966355149903	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_4_S28_L002_R1_001	MantonBM4_HiSeq_4_S28_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54265561.0	0.0	26.0	50.0	47.62903564723708	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_5_S29_L001_R1_001	MantonBM4_HiSeq_5_S29_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	59123430.0	0.0	26.0	50.0	45.05252820403071	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_5_S29_L002_R1_001	MantonBM4_HiSeq_5_S29_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55714634.0	0.0	26.0	50.0	47.863018155521395	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_6_S30_L001_R1_001	MantonBM4_HiSeq_6_S30_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55213094.0	0.0	26.0	50.0	46.718487107539715	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_6_S30_L002_R1_001	MantonBM4_HiSeq_6_S30_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52250873.0	0.0	26.0	50.0	49.41347193117559	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_7_S31_L001_R1_001	MantonBM4_HiSeq_7_S31_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54619995.0	0.0	26.0	50.0	47.02532609234035	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_7_S31_L002_R1_001	MantonBM4_HiSeq_7_S31_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	51935705.0	0.0	26.0	50.0	49.682595486229125	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_8_S32_L001_R1_001	MantonBM4_HiSeq_8_S32_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61140386.0	0.0	26.0	50.0	45.13373844683517	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM4_HiSeq_8_S32_L002_R1_001	MantonBM4_HiSeq_8_S32_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60874972.0	0.0	26.0	50.0	46.90730162449748	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM5_HiSeq_1_S1_L001_R1_001	MantonBM5_HiSeq_1_S1_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60847839.0	0.0	26.0	50.0	56.62376459395616	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_1_S1_L002_R1_001	MantonBM5_HiSeq_1_S1_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62029625.0	0.0	26.0	50.0	55.939396496206726	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_2_S2_L001_R1_001	MantonBM5_HiSeq_2_S2_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62458294.0	0.0	26.0	50.0	53.62603119635166	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_2_S2_L002_R1_001	MantonBM5_HiSeq_2_S2_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63675382.0	0.0	26.0	50.0	52.58843885976429	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_3_S3_L001_R1_001	MantonBM5_HiSeq_3_S3_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63763052.0	0.0	26.0	50.0	53.7615634879533	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_3_S3_L002_R1_001	MantonBM5_HiSeq_3_S3_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64960882.0	0.0	26.0	50.0	53.2299418848402	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_4_S4_L001_R1_001	MantonBM5_HiSeq_4_S4_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	61109471.0	0.0	26.0	50.0	54.788108705629966	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_4_S4_L002_R1_001	MantonBM5_HiSeq_4_S4_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62202733.0	0.0	26.0	50.0	53.921272999265966	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_5_S5_L001_R1_001	MantonBM5_HiSeq_5_S5_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62651391.0	0.0	26.0	50.0	55.13833876529603	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_5_S5_L002_R1_001	MantonBM5_HiSeq_5_S5_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	63972818.0	0.0	26.0	50.0	54.552235097848865	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_6_S6_L001_R1_001	MantonBM5_HiSeq_6_S6_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	60872831.0	0.0	26.0	50.0	54.32906731108436	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_6_S6_L002_R1_001	MantonBM5_HiSeq_6_S6_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62065810.0	0.0	26.0	50.0	53.58981491265604	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_7_S7_L001_R1_001	MantonBM5_HiSeq_7_S7_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47105455.0	0.0	26.0	50.0	60.20016660065561	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_7_S7_L002_R1_001	MantonBM5_HiSeq_7_S7_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47770617.0	0.0	26.0	50.0	59.55918215368996	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_8_S8_L001_R1_001	MantonBM5_HiSeq_8_S8_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55689265.0	0.0	26.0	50.0	57.21451637142627	26.0	pass	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM5_HiSeq_8_S8_L002_R1_001	MantonBM5_HiSeq_8_S8_L002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56678328.0	0.0	26.0	50.0	56.38221218840241	26.0	pass	pass	warn	pass	pass	pass	pass	pass	warn	warn	pass
fastqc | MantonBM6_HiSeq_1_S9_L003_R1_001	MantonBM6_HiSeq_1_S9_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66660112.0	0.0	26.0	50.0	44.49023818352252	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_1_S9_L004_R1_001	MantonBM6_HiSeq_1_S9_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67016056.0	0.0	26.0	50.0	44.220398944652885	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_2_S10_L003_R1_001	MantonBM6_HiSeq_2_S10_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70444096.0	0.0	26.0	50.0	42.681232861934554	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_2_S10_L004_R1_001	MantonBM6_HiSeq_2_S10_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	70818214.0	0.0	26.0	50.0	42.24289439766373	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_4_S11_L003_R1_001	MantonBM6_HiSeq_4_S11_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67750525.0	0.0	26.0	50.0	43.03818197806245	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_4_S11_L004_R1_001	MantonBM6_HiSeq_4_S11_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68045467.0	0.0	26.0	50.0	42.74618154774474	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_5_S12_L003_R1_001	MantonBM6_HiSeq_5_S12_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67230991.0	0.0	26.0	50.0	45.362704960426385	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_5_S12_L004_R1_001	MantonBM6_HiSeq_5_S12_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	67615495.0	0.0	26.0	50.0	45.211654008728416	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_6_S13_L003_R1_001	MantonBM6_HiSeq_6_S13_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74292547.0	0.0	26.0	50.0	40.94835872717711	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_6_S13_L004_R1_001	MantonBM6_HiSeq_6_S13_L004_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	74654163.0	0.0	26.0	50.0	40.81712426615147	26.0	pass	pass	pass	pass	pass	pass	pass	pass	fail	warn	pass
fastqc | MantonBM6_HiSeq_7_S14_L003_R1_001	MantonBM6_HiSeq_7_S14_L003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	66686895.0	0.0	26.0	50.0	43.729919906581614	26.0	pass	pass	fail	pass	pass	pass	pass	pass	fail	warn	pass
